Date,ST_Rev
2020-01,2.56
2020-02,-2.44
2020-03,-11.63
2020-04,15.77
2020-05,-3.29
2020-06,-1.92
2020-07,-3.25
2020-08,-2.29
2020-09,0.42
2020-10,0.62
2020-11,3.08
2020-12,-3.11
2021-01,0.68
2021-02,4.49
2021-03,-0.89
2021-04,1.32
2021-05,1.37
2021-06,3.1
2021-07,-0.72
2021-08,-1.51
2021-09,0.74
2021-10,-1.61
2021-11,-2.7
2021-12,-0.16
2022-01,-4.92
2022-02,-3.32
2022-03,-0.03
2022-04,-1.99
2022-05,-2.07
2022-06,1.64
2022-07,6.37
2022-08,1.65
2022-09,-1.69
2022-10,0.35
2022-11,0.55
2022-12,-3.39
2023-01,9.47
2023-02,-1.34
2023-03,-2.48
2023-04,-0.76
2023-05,4.04
2023-06,0.83
2023-07,-1.84
2023-08,2.25
2023-09,-2.68
2023-10,-2.57
2023-11,3.28
2023-12,-4.09
2024-01,2.21
2024-02,-1.59
2024-03,0.17
2024-04,-3.81
2024-05,-1.71
2024-06,-1.95
2024-07,3.47
2024-08,-0.17
2024-09,0.56
2024-10,-1.38
2024-11,-4.57
