,Probability_Reach_AG,Average_Funding_Ratio_AG,Std_Funding_Ratio_AG,Probability_Reach_EG,Average_Funding_Ratio_EG,Average_Max Drawdown,Average_Tracking_Error,Breaches_of_EG_per_year,Average_Utility_funding_ratio
Balanced_Fund_x_0.3_rebalancing_21,0.0,0.65,0.077,1.0,1.624,-0.225,0.066,0.002142857142857143,0.6496644117690469
Buy_and_Hold_x_0.3_rebalancing_none,0.004,0.642,0.103,1.0,1.604,-0.274,0.074,0.0,0.6414699680589533
Buy_and_Hold_Best,0.002,0.634,0.095,1.0,1.586,-0.253,0.068,0.0,0.6343286876053881
CPPI_m_3,0.092,0.622,0.332,1.0,1.555,-1.004,0.181,0.0,0.581394791875746
Balanced_Fund_x_0.2_rebalancing_21,0.0,0.617,0.049,1.0,1.543,-0.16,0.044,0.0,0.6173515143585898
Buy_and_Hold_x_0.2_rebalancing_none,0.0,0.612,0.069,1.0,1.53,-0.191,0.051,0.0,0.6118308049393543
Balanced_Fund_x_0.1_rebalancing_21,0.0,0.585,0.023,1.0,1.462,-0.125,0.022,0.0,0.5847787867592151
Buy_and_Hold_x_0.1_rebalancing_none,0.0,0.582,0.034,1.0,1.455,-0.133,0.026,0.0,0.5819902877774272
CPPI_m_3_rf_incorrect,0.106,0.559,0.445,0.622,1.398,-1.146,2.128,1.6907023809523811,-inf
CPPI_m_4,0.052,0.541,0.325,1.0,1.352,-1.274,0.205,0.0,0.508565079998409
Buy_and_Hold_x_0.3_no_rebalancing_Constant_Maturity,0.0,0.538,0.097,0.936,1.346,-0.193,0.077,0.25940079365079366,-inf
Balanced_Fund_x_0.3_rebalancing_21_Constant_Maturity,0.0,0.538,0.097,0.936,1.346,-0.193,0.077,0.25940079365079366,-inf
Buy_and_Hold_x_0.2_no_rebalancing_Constant_Maturity,0.0,0.498,0.079,0.892,1.245,-0.121,0.059,0.31156746031746024,-inf
Balanced_Fund_x_0.2_rebalancing_21_Constant_Maturity,0.0,0.498,0.079,0.892,1.245,-0.121,0.059,0.31156746031746024,-inf
CPPI_m_5,0.023,0.468,0.229,1.0,1.17,-1.405,0.214,0.0,0.45273009821021837
CPPI_m_5_rf_incorrect,0.023,0.468,0.229,1.0,1.17,-1.405,0.214,0.0,0.45273009821021837
Balanced_Fund_x_0.1_rebalancing_21_Constant_Maturity,0.0,0.459,0.066,0.813,1.148,-0.064,0.045,0.5135119047619048,-inf
Buy_and_Hold_x_0.1_no_rebalancing_Constant_Maturity,0.0,0.459,0.066,0.813,1.148,-0.064,0.045,0.5135119047619048,-inf
CPPI_m_4_rf_incorrect,0.051,0.371,0.889,0.305,0.928,-2.703,9.581,3.724619047619048,-inf
